index,error_type,question,answers_choices,ground_truth,prediction,raw_output
186,invalid_bia_dap_an,"Giả sử bà B là lãnh đạo một doanh nghiệp nhỏ chuyên về sản xuất sản phẩm chăm sóc cá nhân. Bà đang cân nhắc mở rộng thị trường bằng cách giới thiệu một dòng sản phẩm mới. Trong quá trình phát triển chiến lược kinh doanh, bà nhận thấy tầm quan trọng của việc hiểu rõ về các thành phần cũng như quy trình sản xuất liên quan đến sản phẩm này. Do đó, bà B tự hỏi liệu việc có kiến thức sâu về các lĩnh vực như hóa học, sinh học, và dược học có phải là điều quan trọng cho vai trò lãnh đạo của mình nhằm đảm bảo sản phẩm đạt tiêu chuẩn chất lượng và an toàn cao nhất không?",A. Sở hữu trí tuệ B. Giao thông vận tải C. Thương mại D. Thủ tục tố tụng E. Dịch vụ pháp lý F. Xây dựng - đô thị,C. Thương mại,(invalid),G
188,invalid_bia_dap_an,"Ông B đang làm việc trong một tổ chức phi chính phủ và đang chịu trách nhiệm xây dựng chương trình giáo dục cộng đồng về các nguy cơ của việc sử dụng sản phẩm gây hại cho sức khỏe. Để đảm bảo các hoạt động của mình tuân thủ pháp luật hiện hành và tác động tích cực, ông muốn tìm hiểu về các hướng dẫn của chính phủ liên quan đến việc phòng ngừa tác hại do sử dụng sản phẩm này. Ông B cần biết rõ, văn bản nào của cơ quan quản lý được ban hành để chỉ đạo thực hiện các điều này một cách cụ thể và chính xác?",A. Đầu tư B. Văn hóa - xã hội C. Tài nguyên - môi trường D. Lĩnh vực khác E. Giáo dục F. Tiền tệ ngân hàng,B. Văn hóa - xã hội,(invalid),G
193,chon_sai_dap_an_hop_le,Doanh nghiệp của bà B đã mở rộng quy mô kinh doanh và bà lo lắng về việc tuân thủ quy định thuế liên quan đến thu nhập cá nhân cho nhân viên. Bà muốn tìm hiểu chi tiết về quy định mới nhất áp dụng từ năm 2025 để đảm bảo doanh nghiệp của mình không vi phạm pháp luật. Số lượng chương và điều khoản trong văn bản quy định về thuế này là bao nhiêu để bà có cái nhìn toàn diện và cụ thể?,A. Thuế - phí - lệ phí B. Bộ máy hành chính C. Thể thao - y tế D. Chứng khoán E. Kế toán - kiểm toán F. Giáo dục,A. Thuế - phí - lệ phí,E. Kế toán - kiểm toán,E
197,chon_sai_dap_an_hop_le,"Anh B sống tại Gia Lai và sắp tới sẽ cần thực hiện một số thủ tục liên quan đến chính sách an sinh xã hội. Để chuẩn bị tốt nhất, anh muốn biết rõ địa chỉ mới nhất của cơ quan phụ trách chế độ an sinh ở Đak Đoa sau ngày 1 tháng 10, năm 2025. Liệu ai có thể cung cấp thông tin chính xác về địa điểm sẽ hoạt động của văn phòng này không?",A. Tiền tệ ngân hàng B. Thương mại C. Lĩnh vực khác D. Bảo hiểm E. Quyền dân sự F. Giao thông vận tải,D. Bảo hiểm,C. Lĩnh vực khác,C
201,invalid_bia_dap_an,"Trong quá trình giảng dạy về lịch sử pháp luật tại Việt Nam, cô giáo Lan đã đề cập đến một trong những văn bản pháp lý quan trọng của nước ta. Cô yêu cầu các em học sinh tìm hiểu sâu hơn về điều khoản thứ tám của Hiến pháp năm 1946. Bà Lan muốn các em phân tích kỹ càng về nội dung, ý nghĩa và tác động của quy định này trong bối cảnh lịch sử cụ thể lúc bấy giờ. Vậy, các em sẽ giải thích và làm rõ những điểm chính của điều khoản đó như thế nào?",A. Văn hóa - xã hội B. Bộ máy hành chính C. Thủ tục tố tụng D. Tài nguyên - môi trường E. Xây dựng - đô thị F. Chứng khoán,B. Bộ máy hành chính,(invalid),G
211,chon_sai_dap_an_hop_le,"Ông B, một cư dân sống tại huyện Cao Phong, tỉnh Phú Thọ, đang có nhu cầu tìm hiểu thông tin chi tiết về địa chỉ của cơ quan Bảo hiểm Xã hội tại khu vực mình sinh sống. Do chuẩn bị hoàn tất thủ tục hưởng chế độ bảo hiểm thất nghiệp, ông B cần biết chính xác nơi đặt trụ sở cơ quan này để nộp hồ sơ. Vậy, ông B cần tham khảo thông tin ở đâu để có thể xác định một cách rõ ràng địa chỉ của cơ quan Bảo hiểm Xã hội cơ sở tại huyện Cao Phong là như thế nào?",A. Bảo hiểm B. Giao thông vận tải C. Lĩnh vực khác D. Công nghệ thông tin E. Lao động - tiền lương F. Trách nhiệm hình sự,A. Bảo hiểm,E. Lao động - tiền lương,E
216,chon_sai_dap_an_hop_le,"Ông B đang là bị cáo trong một vụ án kéo dài và đến tháng 9 năm 2025, xuất hiện những thông tin mới về giá trị tài sản liên quan đã bị xác định sai. Luật sư của ông cho rằng cần thực hiện việc định giá lại để đảm bảo quyền lợi và chứng cứ trong vụ án. Trong hoàn cảnh như vậy, ông B cần tìm hiểu rõ ràng về các tình huống nào yêu cầu định giá lại tài sản theo quy định mới trong tố tụng hình sự kể từ ngày 22/9/2025?",A. Thuế - phí - lệ phí B. Sở hữu trí tuệ C. Bảo hiểm D. Trách nhiệm hình sự E. Xây dựng - đô thị F. Thủ tục tố tụng,F. Thủ tục tố tụng,D. Trách nhiệm hình sự,D
219,chon_sai_dap_an_hop_le,"Anh B là một nhà nghiên cứu trong lĩnh vực pháp luật, hiện đang chuẩn bị một bài thuyết trình cho hội thảo sắp diễn ra. Trong quá trình tìm hiểu, anh B muốn nắm rõ cấu trúc của một văn bản pháp lý quan trọng có liên quan đến việc giám định tư pháp. Để có thể phân tích kỹ lưỡng và trình bày thông tin chính xác trong bài thuyết trình, anh B cần biết văn bản này gồm những phần nào và mỗi phần chứa đựng bao nhiêu quy tắc. Liệu có ai có thể cung cấp thông tin chi tiết về số lượng các phần lớn và các quy định nhỏ bên trong văn bản này không?",A. Thủ tục tố tụng B. Sở hữu trí tuệ C. Lao động - tiền lương D. Quyền dân sự E. Bộ máy hành chính F. Xuất nhập khẩu,A. Thủ tục tố tụng,D. Quyền dân sự,D
226,chon_sai_dap_an_hop_le,"Cuộc thi trực tuyến về chuyển đổi số dành cho thanh niên An Giang đang diễn ra và đến tuần thứ ba, chị B mới tham gia lần đầu. Chị muốn biết làm thế nào để tìm kiếm thông tin liên quan đến các câu hỏi đã công bố trước đó, đặc biệt là để kiểm tra kết quả của tuần này. Chị B cần hướng dẫn cụ thể về việc tìm kiếm dữ liệu và thông tin hữu ích từ Ban tổ chức cuộc thi, cũng như cách sử dụng nền tảng kỹ thuật số để tra cứu thông tin nhanh chóng và chính xác. Vậy, chị B nên áp dụng phương pháp nào để có được đáp án và kết quả mới nhất một cách hiệu quả?",A. Lĩnh vực khác B. Trách nhiệm hình sự C. Thương mại D. Xuất nhập khẩu E. Văn hóa - xã hội F. Giao thông vận tải,A. Lĩnh vực khác,E. Văn hóa - xã hội,E
231,invalid_bia_dap_an,"Trong bối cảnh thành phố X đang đối mặt với tình trạng ô nhiễm không khí gia tăng, bà B, một chuyên viên bảo vệ môi trường, được giao nhiệm vụ tối ưu hóa việc quản lý cây xanh công cộng từ sau ngày 09/10/2025. Làm thế nào bà B có thể đảm bảo các yêu cầu mới nhất về việc quản lý cây xanh được thực hiện đầy đủ và hiệu quả để cải thiện chất lượng môi trường đô thị?",A. Xây dựng - đô thị B. Quyền dân sự C. Kế toán - kiểm toán D. Bất động sản E. Thuế - phí - lệ phí F. Trách nhiệm hình sự,A. Xây dựng - đô thị,(invalid),G. Bảo vệ môi trường
243,chon_sai_dap_an_hop_le,"Ông B là giám đốc một công ty chế tác trang sức, dự định nhập khẩu một lô vàng nguyên liệu từ nước ngoài. Để đảm bảo hoạt động nhập khẩu này diễn ra hợp pháp và hiệu quả, ông B cần chuẩn bị một bộ hồ sơ đầy đủ theo quy định của thông tư mới nhất. Vậy ông B cần chuẩn bị những tài liệu và thông tin nào trong bộ hồ sơ đề nghị cấp Giấy phép nhập khẩu vàng miếng và vàng nguyên liệu?",A. Công nghệ thông tin B. Tài nguyên - môi trường C. Sở hữu trí tuệ D. Lao động - tiền lương E. Bảo hiểm F. Tiền tệ ngân hàng,F. Tiền tệ ngân hàng,D. Lao động - tiền lương,D
261,chon_sai_dap_an_hop_le,"Khi Công ty X thực hiện chia tách để tạo ra một doanh nghiệp mới, họ phải xem xét các quy định liên quan đến chi phí lãi vay phát sinh từ các giao dịch liên kết trước đó. Trong bối cảnh có Công văn 4610/CT-KTr 2025 đã ban hành, Giám đốc tài chính của Công ty X cần tìm hiểu chi tiết về cách thức ghi nhận và xử lý chi phí lãi vay này như thế nào trong bối cảnh tái cấu trúc. Những quy định và hướng dẫn nào từ công văn trên mà họ cần tuân thủ để đảm bảo tuân thủ pháp luật tài chính?",A. Doanh nghiệp B. Thuế - phí - lệ phí C. Bất động sản D. Tài nguyên - môi trường E. Bộ máy hành chính F. Thủ tục tố tụng,A. Doanh nghiệp,B. Thuế - phí - lệ phí,B. Thuế - phí - lệ
273,invalid_bia_dap_an,"Ông B, một cựu chiến binh đang tham gia buổi hội thảo về các chiến dịch quân sự quan trọng trong lịch sử. Tại đây, ông muốn tìm hiểu thêm về một trận đánh cụ thể, nơi mà một quốc gia đã thành công trong việc vô hiệu hóa các chiến thuật quân sự hiện đại như vận tải bằng máy bay và xe bọc thép của đối phương. Trận chiến này đã tạo ra sự chuyển biến lớn trong cuộc xung đột đang diễn ra. Ông B đang rất quan tâm đến việc những yếu tố nào đã góp phần vào chiến thắng này?",A. Giao thông vận tải B. Thể thao - y tế C. Lĩnh vực khác D. Thương mại E. Tài chính nhà nước F. Tiền tệ ngân hàng,C. Lĩnh vực khác,(invalid),Giao thông vận tải
276,chon_sai_dap_an_hop_le,"Chị Lan vừa nhận được công việc mới trong ngành hàng không quốc tế và cô khá phấn khích về những chuyến bay sắp tới. Tuy nhiên, cô muốn biết rõ hơn về các tình huống mà mình có thể phải tạm ngừng công việc đột ngột. Trong trường hợp chị Lan, điều kiện nào có thể dẫn tới yêu cầu tạm thời rời xa công việc của mình trên các chuyến bay?",A. Lĩnh vực khác B. Thủ tục tố tụng C. Thương mại D. Thuế - phí - lệ phí E. Bảo hiểm F. Quyền dân sự,A. Lĩnh vực khác,C. Thương mại,C
279,chon_sai_dap_an_hop_le,"Một doanh nghiệp đang tham gia vào một dự án lớn thông qua quá trình đấu thầu. Sau khi nộp hồ sơ, họ phát hiện ra có những vấn đề cần điều chỉnh và mong muốn gửi kiến nghị đến ban tổ chức. Trong tình huống này, đại diện doanh nghiệp cần biết rõ về quy định hiện hành liên quan đến thời hạn mà phía tổ chức phải phản hồi những kiến nghị của họ theo Nghị định 214 để có kế hoạch chuẩn bị và hành động phù hợp. Thời gian cụ thể cho việc xử lý kiến nghị trong đấu thầu sẽ được xác định như thế nào theo đúng quy định pháp lý mới nhất?",A. Thuế - phí - lệ phí B. Đầu tư C. Xây dựng - đô thị D. Thương mại E. Quyền dân sự F. Chứng khoán,B. Đầu tư,C. Xây dựng - đô thị,C
282,invalid_bia_dap_an,"Ông B là một nhà báo đang nghiên cứu về vai trò của Việt Nam trong các sự kiện quốc tế lớn. Trong quá trình tìm hiểu, ông đã phát hiện thông tin rằng Việt Nam có thể đã từng được chọn để tổ chức buổi lễ ký kết một điều ước quốc tế quan trọng liên quan đến an ninh mạng do Liên hợp quốc điều hành. Để viết bài báo chi tiết và chính xác hơn, ông B muốn xác nhận xem thông tin này có chính xác không, và nếu có, đâu là những lý do mà Việt Nam được tin tưởng giao phó nhiệm vụ quan trọng này?",A. Tiền tệ ngân hàng B. Văn hóa - xã hội C. Thủ tục tố tụng D. Doanh nghiệp E. Kế toán - kiểm toán F. Giao thông vận tải,B. Văn hóa - xã hội,(invalid),G. Quốc tế
287,invalid_bia_dap_an,"Doanh nghiệp B đang có kế hoạch tham gia đấu thầu cung ứng thuốc cho một chuỗi bệnh viện lớn tại địa phương. Để tối ưu hóa quá trình tham gia thầu qua mạng, doanh nghiệp muốn nắm rõ hơn về cấu trúc và thông tin cần thiết của hồ sơ mời thầu, theo quy định hiện hành mà Thông tư 40 đã nêu. Vậy doanh nghiệp cần chuẩn bị những gì trong hồ sơ để đảm bảo tuân thủ các yêu cầu cụ thể này?",A. Bộ máy hành chính B. Bất động sản C. Quyền dân sự D. Văn hóa - xã hội E. Xây dựng - đô thị F. Đầu tư,F. Đầu tư,(invalid),G
289,chon_sai_dap_an_hop_le,"Vợ chồng ông B đang lên kế hoạch cho một chuyến nghỉ dưỡng vào cuối năm 2025 và họ muốn chọn thời điểm phù hợp để kết hợp tham gia các lễ hội truyền thống. Do đó, ông B cần tham khảo lịch âm để xác định chính xác các ngày lễ trong tháng 11 năm 2025, cũng như xem xét chi tiết lịch vạn niên để đưa ra quyết định hợp lý nhất cho kế hoạch của mình. Những thông tin đầy đủ nào về tháng 11 âm lịch năm 2025 có thể giúp ông B?",A. Văn hóa - xã hội B. Thủ tục tố tụng C. Lĩnh vực khác D. Tài nguyên - môi trường E. Công nghệ thông tin F. Thể thao - y tế,C. Lĩnh vực khác,A. Văn hóa - xã hội,A
295,invalid_bia_dap_an,"Gia đình ông B đang trong quá trình tìm hiểu các quy định pháp lý để thực hiện việc nhận nuôi một đứa trẻ mồ côi. Trước khi tiến hành các thủ tục cần thiết, ông B muốn nắm vững các nội dung chính và cấu trúc của Luật Nuôi con nuôi để chuẩn bị giấy tờ một cách đầy đủ và chính xác. Ông B phải xem tài liệu chi tiết để biết luật này bao gồm bao nhiêu chương và điều khoản cụ thể?",A. Tiền tệ ngân hàng B. Quyền dân sự C. Thủ tục tố tụng D. Kế toán - kiểm toán E. Thuế - phí - lệ phí F. Giao thông vận tải,B. Quyền dân sự,(invalid),G
302,chon_sai_dap_an_hop_le,"Một công ty A đang tham gia một dự án lớn và đã chuẩn bị hồ sơ đấu thầu cẩn thận. Trong quá trình xem xét các điều kiện đã được công bố, họ phát hiện rằng hồ sơ mời thầu đưa ra yêu cầu về nguồn gốc xuất xứ của sản phẩm theo nhóm nước hoặc khu vực nhất định, và trong số đó không có tên của Việt Nam. Công ty A dự định cung cấp sản phẩm có nguồn gốc từ Việt Nam. Vậy trong trường hợp này, sản phẩm của họ sẽ được đánh giá thế nào trong bối cảnh đấu thầu này?",A. Chứng khoán B. Trách nhiệm hình sự C. Xuất nhập khẩu D. Công nghệ thông tin E. Đầu tư F. Tài chính nhà nước,E. Đầu tư,C. Xuất nhập khẩu,C
307,chon_sai_dap_an_hop_le,"Gia đình ông B vừa thỏa thuận xong việc chia quyền thừa kế từ người cha quá cố. Để chính thức hóa thỏa thuận này, ông B cần hoàn tất thủ tục công chứng cho văn bản đã thống nhất. Vậy quy định hiện hành yêu cầu ông B phải chuẩn bị những giấy tờ và thông tin nào để tiến hành công chứng văn bản phân chia di sản đó?",A. Giao thông vận tải B. Dịch vụ pháp lý C. Quyền dân sự D. Trách nhiệm hình sự E. Xuất nhập khẩu F. Giáo dục,B. Dịch vụ pháp lý,C. Quyền dân sự,C
309,chon_sai_dap_an_hop_le,"Ông B đang chuẩn bị tham gia một cuộc đấu giá quan trọng do một cơ quan tổ chức. Trước sự kiện này, ông cảm thấy cần nắm rõ về cấu trúc của Luật Đấu giá tài sản để đảm bảo mọi thủ tục được thực hiện đúng. Vì vậy, ông B thắc mắc Luật này gồm mấy chương mấy điều, cũng như cách thức mà mỗi phần của luật điều chỉnh quá trình đấu giá ra sao để anh có thể tự tin trong việc tuân thủ pháp lý.",A. Thương mại B. Trách nhiệm hình sự C. Lĩnh vực khác D. Dịch vụ pháp lý E. Bảo hiểm F. Bất động sản,A. Thương mại,D. Dịch vụ pháp lý,D
314,invalid_bia_dap_an,"Gia đình anh B có kế hoạch tổ chức một chuyến du lịch đặc biệt vào dịp cuối năm 2025 và đầu năm 2026. Để thuận tiện cho việc sắp xếp công việc và lên lịch trình cụ thể, anh B cần biết chính xác số ngày nghỉ lễ Tết năm 2026, cùng với thông tin chi tiết về việc các ngày nghỉ này sẽ rơi vào thứ mấy trong tuần. Anh B cần những thông tin này để lên kế hoạch nghỉ phù hợp nhất cho cả gia đình và đảm bảo mọi công việc trước và sau kỳ nghỉ được sắp xếp tốt.",A. Công nghệ thông tin B. Lao động - tiền lương C. Sở hữu trí tuệ D. Thể thao - y tế E. Vi phạm hành chính F. Chứng khoán,B. Lao động - tiền lương,(invalid),G
317,invalid_bia_dap_an,"Chị B đang làm việc tại phòng kế hoạch của một cơ quan địa phương và được giao nhiệm vụ xác định những hạng mục hàng hóa cần thiết cho năm tài chính mới. Chị nhận ra cần phải tuân theo quy định hiện hành, cụ thể là các hướng dẫn trong Thông tư 40, để đảm bảo rằng kế hoạch mua sắm tập trung được thực hiện một cách hiệu quả nhất. Chị B cần biết quy trình và tiêu chí nào cần được xem xét để xác định đúng nhu cầu mua sắm tập trung tại địa phương mình?",A. Sở hữu trí tuệ B. Đầu tư C. Lao động - tiền lương D. Thương mại E. Tài nguyên - môi trường F. Thủ tục tố tụng,B. Đầu tư,(invalid),G
321,invalid_bia_dap_an,"Nhà đầu tư B đang lên kế hoạch triển khai một dự án kinh doanh trên một khu đất mà họ mong muốn được cấp quyền sử dụng từ Nhà nước. Tuy nhiên, trước khi tiến hành, B cần xác định liệu có yêu cầu thực hiện ký quỹ cho dự án này không. Trường hợp nào B sẽ được miễn việc ký quỹ khi dự án liên quan đến việc Nhà nước giao đất, cho thuê đất hoặc cho phép thay đổi mục đích sử dụng khu đất đó?",A. Doanh nghiệp B. Văn hóa - xã hội C. Lao động - tiền lương D. Thể thao - y tế E. Công nghệ thông tin F. Giao thông vận tải,A. Doanh nghiệp,(invalid),Giao thông vận tải
322,invalid_bia_dap_an,"Anh B chuẩn bị đến tuổi thực hiện nghĩa vụ theo quy định và đang tìm hiểu về các nghĩa vụ công dân đối với đất nước. Để chuẩn bị tốt nhất cho quá trình này, anh B muốn biết rõ hơn về việc tham gia nghĩa vụ theo luật định. Vậy, trong năm 2026, anh cần tham khảo những tài liệu nào để nắm được chính xác các quy định hiện hành liên quan đến nghĩa vụ quân sự?",A. Thuế - phí - lệ phí B. Chứng khoán C. Công nghệ thông tin D. Xây dựng - đô thị E. Quyền dân sự F. Thể thao - y tế,E. Quyền dân sự,(invalid),G. Nghĩa vụ quân sự
325,chon_sai_dap_an_hop_le,"Khi chính quyền tỉnh quyết định sáp nhập một số khu vực nhằm cải thiện công tác quản lý, bà B muốn gửi một món quà cho người thân đang sinh sống tại Hà Tĩnh. Bà băn khoăn không biết sau đợt thay đổi hành chính gần đây, làm thế nào để tìm được mã bưu điện chính xác cho địa chỉ mới của người thân. Liệu bà cần thực hiện những bước gì để tra cứu thông tin mã bưu chính một cách chi tiết và đầy đủ nhất?",A. Bộ máy hành chính B. Xuất nhập khẩu C. Lĩnh vực khác D. Bất động sản E. Thuế - phí - lệ phí F. Văn hóa - xã hội,A. Bộ máy hành chính,F. Văn hóa - xã hội,F
329,invalid_bia_dap_an,"Ông B thường xuyên di chuyển bằng các phương tiện công cộng để đi làm hàng ngày. Gần đây, ông nghe nói về quy định mới liên quan đến việc kiểm soát hành vi hút thuốc ở các phương tiện này. Khi ông B chuẩn bị lên xe buýt để đến cơ quan, ông tự đặt câu hỏi rằng, căn cứ vào Luật Phòng chống tác hại của thuốc lá năm 2012, loại hình phương tiện giao thông công cộng nào đã bị cấm hoàn toàn đối với hành vi hút thuốc lá, nhằm đảm bảo sức khỏe cộng đồng và môi trường trong lành?",A. Sở hữu trí tuệ B. Dịch vụ pháp lý C. Bộ máy hành chính D. Thể thao - y tế E. Giáo dục F. Đầu tư,D. Thể thao - y tế,(invalid),G
334,invalid_bia_dap_an,"Trong một buổi họp với hội đồng quản trị của công ty, bà B được giao nhiệm vụ nghiên cứu các tiêu chuẩn mới liên quan đến việc xử lý khiếu nại và tố cáo trong doanh nghiệp. Để đảm bảo tuân thủ đầy đủ các quy định mới nhất, bà B cần tìm hiểu cụ thể về nghị định nào đang hướng dẫn thực hiện các điều khoản quan trọng của Luật Tố cáo mới ban hành. Vậy, bà B nên tham khảo văn bản pháp luật nào để nắm rõ các quy định này?",A. Chứng khoán B. Thủ tục tố tụng C. Bộ máy hành chính D. Thể thao - y tế E. Văn hóa - xã hội F. Quyền dân sự,B. Thủ tục tố tụng,(invalid),G
337,invalid_bia_dap_an,"Trong bối cảnh năm 2025, chị B thường phải di chuyển bằng xe máy để đi làm qua những đoạn đường đông đúc. Một hôm, chị vô tình sử dụng điện thoại trong lúc đang dừng xe ở đèn đỏ. Sau đó, chị bị lực lượng chức năng chặn lại và phải giải quyết vi phạm. Chị B muốn biết mức xử phạt cho hành vi này là bao nhiêu, và việc sử dụng điện thoại khi đang điều khiển phương tiện trên đường có thể mang lại những hệ quả gì khác?",A. Giao thông vận tải B. Văn hóa - xã hội C. Xuất nhập khẩu D. Dịch vụ pháp lý E. Quyền dân sự F. Trách nhiệm hình sự,A. Giao thông vận tải,(invalid),Giao thông vận tải
344,invalid_bia_dap_an,"Anh B mới mua một mảnh đất ở khu vực ngoại ô và đang có ý định xây dựng một ngôi nhà nhỏ trên đó. Để đảm bảo quyền sở hữu hợp pháp, anh muốn hoàn tất các thủ tục cần thiết để được cấp giấy chứng nhận quyền sử dụng đất lần đầu tiên. Trong tình huống này, anh B cần tìm hiểu chi tiết những bước cần thực hiện theo quy định cập nhật mới nhất của năm 2025 để đăng ký thành công cho mảnh đất của mình. Những điểm quan trọng nào anh cần lưu ý trong quá trình này?",A. Thương mại B. Bất động sản C. Sở hữu trí tuệ D. Lao động - tiền lương E. Xây dựng - đô thị F. Giao thông vận tải,B. Bất động sản,(invalid),Bất động sản
345,chon_sai_dap_an_hop_le,"Chị B là một nhà hoạt động xã hội, hiện đang tham gia vào một dự án cộng đồng nhằm nâng cao nhận thức về bình đẳng giới. Khi biết đến sự kiện Tháng hành động vì bình đẳng giới và phòng ngừa bạo lực dự kiến diễn ra vào năm 2025, chị muốn tìm hiểu cụ thể về các hướng dẫn, quy định mà Công văn 8935/BNV-CTTN&BĐG đã đưa ra để có thể chuẩn bị các hoạt động của mình một cách hiệu quả và phù hợp với mục tiêu của chương trình. Chị B cần nắm vững các điểm chính trong công văn này như thế nào?",A. Bảo hiểm B. Dịch vụ pháp lý C. Quyền dân sự D. Văn hóa - xã hội E. Thể thao - y tế F. Lĩnh vực khác,C. Quyền dân sự,D. Văn hóa - xã hội,D
348,chon_sai_dap_an_hop_le,"Ông B, giám đốc tài chính của một công ty, cần chuẩn bị báo cáo tài chính cuối năm và cần tìm kiếm các biểu mẫu chứng từ kế toán để đảm bảo tuân thủ đúng quy định pháp luật. Trong quá trình tìm kiếm, ông B tự hỏi làm thế nào ông có thể tìm được Phụ lục 1 của Thông tư 99/2025/TT-BTC một cách hiệu quả và nhanh chóng nhất. Liệu có nguồn nào đáng tin cậy hoặc trang web chính thức nào cung cấp thông tin chi tiết về danh mục và biểu mẫu kế toán cần thiết này không?",A. Tiền tệ ngân hàng B. Lĩnh vực khác C. Bảo hiểm D. Doanh nghiệp E. Tài nguyên - môi trường F. Kế toán - kiểm toán,D. Doanh nghiệp,F. Kế toán - kiểm toán,F
355,chon_sai_dap_an_hop_le,"Ông B là chủ một doanh nghiệp kinh doanh nông sản đang phát triển. Gần đây, ông nghe nói rằng có thể có những thay đổi quan trọng trong việc điều chỉnh các ngành nghề kinh doanh được ưu tiên, đặc biệt liên quan đến việc xuất khẩu gạo. Lời đồn về việc xóa bỏ danh mục ngành nghề đầu tư kinh doanh có điều kiện khiến ông B rất quan tâm. Liệu ông B cần xem xét những yếu tố nào để xác minh tính chính xác của thông tin này, và nó sẽ ảnh hưởng gì đến hoạt động kinh doanh của ông?",A. Quyền dân sự B. Công nghệ thông tin C. Đầu tư D. Sở hữu trí tuệ E. Vi phạm hành chính F. Thương mại,F. Thương mại,C. Đầu tư,C
360,chon_sai_dap_an_hop_le,"Một công ty phát triển phần mềm đang sử dụng trí tuệ nhân tạo để tối ưu hóa quy trình sản xuất. Để đảm bảo hệ thống hoạt động an toàn và hiệu quả, họ cần thiết lập các biện pháp quản lý và giám sát rủi ro cho hệ thống AI mà họ đang triển khai. Do đó, giám đốc công nghệ của công ty đã yêu cầu đội ngũ chuyên gia nghiên cứu và đề xuất các mức độ rủi ro khác nhau có thể xảy ra. Những mức độ rủi ro này bao gồm những mức độ nào để đảm bảo an toàn và pháp lý trong quá trình áp dụng công nghệ AI?",A. Vi phạm hành chính B. Sở hữu trí tuệ C. Công nghệ thông tin D. Thương mại E. Dịch vụ pháp lý F. Thể thao - y tế,B. Sở hữu trí tuệ,C. Công nghệ thông tin,C
361,invalid_bia_dap_an,"Ông B sở hữu một xưởng sản xuất đồ trang sức và đang có ý định mở rộng quy mô hoạt động của mình. Việc này yêu cầu ông phải tiến hành sửa đổi và bổ sung Giấy chứng nhận cho đủ điều kiện theo quy định hiện hành. Trong bối cảnh này, ông B cần chuẩn bị những loại tài liệu và hồ sơ nào để đáp ứng đúng theo yêu cầu của Thông tư 34?",A. Tài nguyên - môi trường B. Giao thông vận tải C. Tiền tệ ngân hàng D. Xuất nhập khẩu E. Thủ tục tố tụng F. Vi phạm hành chính,C. Tiền tệ ngân hàng,(invalid),Giao thông vận tải
367,invalid_bia_dap_an,"Một nhóm sinh viên đại học tại Lào Cai đang chuẩn bị tham gia một cuộc thi trực tuyến nhằm tăng cường nhận thức về Luật Phòng chống mua bán người. Để giành kết quả tốt trong cuộc thi năm 2024, các bạn cần tìm hiểu kỹ càng về cấu trúc và nội dung có thể xuất hiện trong phần câu hỏi và đáp án, cũng như những thay đổi nổi bật nào đã được cập nhật trong luật gần đây. Nội dung và quy định của cuộc thi sẽ được các bạn sinh viên tìm hiểu và nắm bắt qua đâu, và có những lưu ý gì đặc biệt để các đội thi có thể đạt kết quả cao nhất?",A. Văn hóa - xã hội B. Giao thông vận tải C. Bảo hiểm D. Xây dựng - đô thị E. Tiền tệ ngân hàng F. Tài chính nhà nước,A. Văn hóa - xã hội,(invalid),G
368,invalid_bia_dap_an,"Nhóm nghiên cứu X vừa hoàn thành một dự án khoa học và chuẩn bị công bố các kết quả nghiên cứu mới của họ. Tuy nhiên, một trong số các nhà tài trợ của dự án là một tổ chức có thể bị ảnh hưởng bởi kết quả nghiên cứu này. Trước khi công trình được công bố, nhóm cần xem xét liệu việc không tiết lộ thông tin tài chính liên quan đến nhà tài trợ có thể dẫn đến vi phạm quy định gì trong việc duy trì tính minh bạch và độc lập trong nghiên cứu hay không?",A. Thủ tục tố tụng B. Đầu tư C. Bộ máy hành chính D. Tài chính nhà nước E. Giáo dục F. Xuất nhập khẩu,D. Tài chính nhà nước,(invalid),G
386,chon_sai_dap_an_hop_le,"Anh B là một kế toán viên tại công ty X, chịu trách nhiệm quản lý và báo cáo các khoản đã nộp về nghĩa vụ tài chính cá nhân cho nhân viên. Trong quý 3 năm 2025, công ty đã thực hiện việc khấu trừ và nộp thay thuế thu nhập cá nhân cho các nhân viên. Để đảm bảo tuân thủ các yêu cầu pháp lý và báo cáo tài chính, anh B cần thực hiện đúng quy trình chi tiết trên phần mềm kê khai để tổng hợp danh sách và số liệu chính xác. Anh B cần biết quy trình từ khâu nhập liệu cho đến cách kiểm tra và xác nhận thông tin đã đúng chưa như thế nào?",A. Chứng khoán B. Lao động - tiền lương C. Xây dựng - đô thị D. Tài chính nhà nước E. Thuế - phí - lệ phí F. Bộ máy hành chính,E. Thuế - phí - lệ phí,D. Tài chính nhà nước,D
